,dutch_name,latin_name,english_name,species_key,ebird_code
217,Krooneend,Netta rufina,Red-crested Pochard,2498180,recpoc
218,IJseend,Clangula hyemalis,Long-tailed Duck,2498273,lotduc
219,Rosse Stekelstaart,Oxyura jamaicensis,Ruddy Duck,2498305,rudduc
220,Zwarte Wouw,Milvus migrans,Black Kite,5229167,blakit1
221,Rode Wouw,Milvus milvus,Red Kite,5229168,redkit1
222,Zeearend,Haliaeetus albicilla,White-tailed Eagle,2480449,whteag
223,Grauwe Kiekendief,Circus pygargus,Montagu's Harrier,2480495,monhar1
224,Ruigpootbuizerd,Buteo lagopus,Rough-legged Buzzard,2480524,rolhaw
225,Visarend,Pandion haliaetus,Western Osprey,2480726,osprey
226,Roodpootvalk,Falco vespertinus,Red-footed Falcon,2481062,reffal1
227,Kwartel,Coturnix coturnix,Common Quail,2474156,comqua1
228,Kip,Gallus gallus,Red Junglefowl,9326020,redjun
229,Porseleinhoen,Porzana porzana,Spotted Crake,2474621,spocra1
230,Kraanvogel,Grus grus,Common Crane,2474950,comcra
231,Strandplevier,Charadrius alexandrinus,Kentish Plover,2480311,kenplo1
232,Morinelplevier,Charadrius morinellus,Eurasian Dotterel,2480281,eurdot
233,Temmincks Strandloper,Calidris temminckii,Temminck's Stint,2481740,temsti
234,Paarse Strandloper,Calidris maritima,Purple Sandpiper,2481743,pursan
235,Bokje,Lymnocryptes minimus,Jack Snipe,2481835,jacsni
236,Poelruiter,Tringa stagnatilis,Marsh Sandpiper,2481719,marsan
237,Grauwe Franjepoot,Phalaropus lobatus,Red-necked Phalarope,5739290,renpha
238,Rosse Franjepoot,Phalaropus fulicarius,Red Phalarope,5229390,redpha1
239,Middelste Jager,Stercorarius pomarinus,Pomarine Jaeger,2481609,pomjae
240,Kleinste Jager,Stercorarius longicaudus,Long-tailed Jaeger,2481613,lotjae
241,Grote Jager,Stercorarius skua,Great Skua,2481618,gresku1
242,Zwartkopmeeuw,Ichthyaetus melanocephalus,Mediterranean Gull,8151548,medgul1
243,Geelpootmeeuw,Larus michahellis,Yellow-legged Gull,9413670,yelgul1
244,Grote Burgemeester,Larus hyperboreus,Glaucous Gull,2481127,glagul
245,Lachstern,Gelochelidon nilotica,Gull-billed Tern,2481263,gubter1
246,Reuzenstern,Hydroprogne caspia,Caspian Tern,2481236,caster1
247,Witvleugelstern,Chlidonias leucopterus,White-winged Tern,2481120,whwter
248,Alk,Alca torda,Razorbill,8277073,razorb
249,Kleine Alk,Alle alle,Little Auk,2481299,doveki
250,Nachtzwaluw,Caprimulgus europaeus,European Nightjar,8109681,eurnig1
251,Draaihals,Jynx torquilla,Eurasian Wryneck,8012314,eurwry
252,Middelste Bonte Specht,Dendrocoptes medius,Middle Spotted Woodpecker,8773033,miswoo1
253,Strandleeuwerik,Eremophila alpestris,Horned Lark,9415596,horlar
254,Grote Pieper,Anthus richardi,Richard's Pipit,9465111,ricpip1
255,Duinpieper,Anthus campestris,Tawny Pipit,2490274,tawpip1
256,Roodkeelpieper,Anthus cervinus,Red-throated Pipit,2490283,retpip
257,Pestvogel,Bombycilla garrulus,Bohemian Waxwing,2484605,bohwax
258,Beflijster,Turdus torquatus,Ring Ouzel,7865305,rinouz1
259,Cetti's Zanger,Cettia cetti,Cetti's Warbler,2493012,cetwar1
260,Bladkoning,Phylloscopus inornatus,Yellow-browed Warbler,2493095,yebwar3
261,Buidelmees,Remiz pendulinus,Eurasian Penduline Tit,2487385,euptit1
262,Grauwe Klauwier,Lanius collurio,Red-backed Shrike,7745240,rebshr1
263,Klapekster,Lanius excubitor,Great Grey Shrike,9444556,norshr1
264,Europese Kanarie,Serinus serinus,European Serin,2494200,eurser1
265,Frater,Linaria flavirostris,Twite,7668711,twite1
266,Roodmus,Carpodacus erythrinus,Common Rosefinch,2494459,comros
267,IJsgors,Calcarius lapponicus,Lapland Longspur,2491678,laplon
268,Sneeuwgors,Plectrophenax nivalis,Snow Bunting,2491719,snobun
269,Ortolaan,Emberiza hortulana,Ortolan Bunting,2491482,ortbun1
270,Grauwe Gors,Emberiza calandra,Corn Bunting,7634625,corbun1
271,Blauwe Pauw,Pavo cristatus,Indian Peafowl,9451184,compea
272,IJsduiker,Gavia immer,Common Loon,2481962,comloo
273,Vale Pijlstormvogel,Puffinus mauretanicus,Balearic Shearwater,5229360,balshe1
274,Stormvogeltje,Hydrobates pelagicus,European Storm Petrel,4408455,bripet
275,Woudaap,Ixobrychus minutus,Little Bittern,2480850,litbit1
276,Kwak,Nycticorax nycticorax,Black-crowned Night Heron,2480863,bcnher
277,Ralreiger,Ardeola ralloides,Squacco Heron,2480906,squher1
278,Koereiger,Bubulcus ibis,Western Cattle Egret,2480830,categr
279,Zwarte Ibis,Plegadis falcinellus,Glossy Ibis,2480773,gloibi
280,Flamingo,Phoenicopterus roseus,Greater Flamingo,4352332,grefla3
281,Taigarietgans,Anser fabalis,Taiga Bean Goose,2498027,taibeg1
282,Dwerggans,Anser erythropus,Lesser White-fronted Goose,2498026,lwfgoo
283,Amerikaanse Smient,Mareca americana,American Wigeon,2498155,amewig
284,Amerikaanse Wintertaling,Anas carolinensis,Green-winged Teal,2498125,agwtea1
